id,celebrity,text,sentiment,sentiment_score,date,platform,length
152,SEVENTEEN,SEVENTEEN 음악 감동이에요,positive,0.942,2025-07-31 09:35:22,twitter,18
153,SEVENTEEN,SEVENTEEN 목소리 천사같아,positive,0.908,2025-08-09 09:35:22,instagram,18
154,TXT,TXT 정말 예쁘다 ❤️,positive,0.865,2025-07-31 09:35:22,instagram,13
155,StrayKids,StrayKids 광고 찍었네요,neutral,0.431,2025-08-04 09:35:22,youtube,17
156,StrayKids,StrayKids 노래 너무 좋아요!,positive,0.772,2025-08-06 09:35:22,instagram,20
157,SEVENTEEN,SEVENTEEN 광고 찍었네요,neutral,0.684,2025-08-12 09:35:22,youtube,17
158,ITZY,ITZY 정말 예쁘다 ❤️,positive,0.868,2025-08-11 09:35:22,youtube,14
159,ITZY,ITZY 목소리 천사같아,positive,0.848,2025-07-27 09:35:22,twitter,13
160,IVE,IVE 재능이 넘쳐나네요,positive,0.843,2025-07-22 09:35:22,twitter,13
161,KARD,KARD 음악 감동이에요,positive,0.944,2025-08-10 09:35:22,instagram,13
162,TXT,TXT 음악 감동이에요,positive,0.812,2025-08-14 09:35:22,twitter,12
163,ENHYPEN,ENHYPEN 최고야!! 사랑해,positive,0.816,2025-07-31 09:35:22,youtube,17
164,NCT,NCT 정말 예쁘다 ❤️,positive,0.895,2025-08-09 09:35:22,instagram,13
165,IU,IU 좀 아쉽네,negative,0.157,2025-08-12 09:35:22,instagram,8
166,(G)I-DLE,(G)I-DLE 최고야!! 사랑해,positive,0.834,2025-08-13 09:35:22,youtube,18
167,KARD,KARD 춤도 잘 춰 👏,positive,0.714,2025-07-31 09:35:22,youtube,13
168,Red Velvet,Red Velvet 너무 과장된거 아니야?,negative,0.34,2025-07-15 09:35:22,twitter,23
169,ENHYPEN,ENHYPEN 춤도 잘 춰 👏,positive,0.793,2025-08-05 09:35:22,youtube,16
170,KARD,KARD 정말 예쁘다 ❤️,positive,0.846,2025-07-28 09:35:22,youtube,14
171,BTS,BTS 완벽해 💕,positive,0.912,2025-08-08 09:35:22,youtube,9
172,ENHYPEN,ENHYPEN 노래 너무 좋아요!,positive,0.944,2025-07-18 09:35:22,instagram,18
173,(G)I-DLE,(G)I-DLE 완벽해 💕,positive,0.846,2025-07-17 09:35:22,instagram,14
174,aespa,aespa 재능이 넘쳐나네요,positive,0.776,2025-07-16 09:35:22,twitter,15
175,KARD,KARD 너무 과장된거 아니야?,negative,0.385,2025-07-15 09:35:22,instagram,17
176,BTS,BTS 예전만 못한듯,negative,0.158,2025-07-28 09:35:22,twitter,11
177,KARD,KARD 논란이 많네,negative,0.21,2025-07-21 09:35:22,youtube,11
178,aespa,aespa 재능이 넘쳐나네요,positive,0.947,2025-08-11 09:35:22,instagram,15
179,NMIXX,NMIXX 재능이 넘쳐나네요,positive,0.806,2025-08-06 09:35:22,instagram,15
180,LE SSERAFIM,LE SSERAFIM 목소리 천사같아,positive,0.925,2025-08-01 09:35:22,twitter,20
181,KARD,KARD 최고야!! 사랑해,positive,0.716,2025-07-26 09:35:22,twitter,14
182,NCT,NCT 드라마 출연해요,neutral,0.658,2025-07-26 09:35:22,twitter,12
183,NewJeans,NewJeans 정말 예쁘다 ❤️,positive,0.706,2025-07-31 09:35:22,twitter,18
184,IVE,IVE 음악 감동이에요,positive,0.709,2025-07-16 09:35:22,youtube,12
185,IVE,IVE 음악 감동이에요,positive,0.895,2025-08-13 09:35:22,youtube,12
186,TXT,TXT 정말 예쁘다 ❤️,positive,0.748,2025-07-29 09:35:22,youtube,13
187,aespa,aespa 논란이 많네,negative,0.27,2025-07-18 09:35:22,youtube,12
188,KARD,KARD 최고야!! 사랑해,positive,0.885,2025-08-13 09:35:22,instagram,14
189,StrayKids,StrayKids 춤도 잘 춰 👏,positive,0.855,2025-07-29 09:35:22,instagram,18
190,ENHYPEN,ENHYPEN 정말 예쁘다 ❤️,positive,0.711,2025-08-02 09:35:22,youtube,17
191,NMIXX,NMIXX 완벽해 💕,positive,0.919,2025-08-03 09:35:22,instagram,11
192,aespa,aespa 별로인듯,negative,0.23,2025-07-22 09:35:22,instagram,10
193,aespa,aespa 노래 너무 좋아요!,positive,0.717,2025-08-14 09:35:22,instagram,16
194,LE SSERAFIM,LE SSERAFIM 음악 감동이에요,positive,0.738,2025-08-13 09:35:22,twitter,20
195,NewJeans,NewJeans 인스타 업데이트 기다려요,neutral,0.592,2025-07-15 09:35:22,twitter,22
196,Red Velvet,Red Velvet 너무 과장된거 아니야?,negative,0.219,2025-07-28 09:35:22,instagram,23
197,KARD,KARD 별로인듯,negative,0.097,2025-08-10 09:35:22,twitter,9
198,ITZY,ITZY 음악 감동이에요,positive,0.836,2025-08-01 09:35:22,instagram,13
199,Red Velvet,Red Velvet 인스타 업데이트 기다려요,neutral,0.665,2025-07-25 09:35:22,instagram,24
200,LE SSERAFIM,LE SSERAFIM 최고야!! 사랑해,positive,0.75,2025-07-19 09:35:22,instagram,21
201,(G)I-DLE,(G)I-DLE 최고야!! 사랑해,positive,0.927,2025-08-08 09:35:22,youtube,18
202,KARD,KARD 춤도 잘 춰 👏,positive,0.867,2025-07-20 09:35:22,instagram,13
203,IU,IU 완벽해 💕,positive,0.756,2025-08-13 09:35:22,youtube,8
204,IU,IU 최고야!! 사랑해,positive,0.937,2025-08-12 09:35:22,instagram,12
205,SEVENTEEN,SEVENTEEN 드라마 출연해요,neutral,0.588,2025-07-22 09:35:22,twitter,18
206,TWICE,TWICE 춤도 잘 춰 👏,positive,0.946,2025-08-03 09:35:22,instagram,14
207,NMIXX,NMIXX 최고야!! 사랑해,positive,0.855,2025-07-28 09:35:22,twitter,15
208,TXT,TXT 목소리 천사같아,positive,0.937,2025-08-08 09:35:22,youtube,12
209,BTS,BTS 노래 너무 좋아요!,positive,0.893,2025-07-29 09:35:22,instagram,14
210,NewJeans,NewJeans 완벽해 💕,positive,0.931,2025-07-24 09:35:22,twitter,14
211,NewJeans,NewJeans 노래 너무 좋아요!,positive,0.796,2025-07-21 09:35:22,youtube,19
212,LE SSERAFIM,LE SSERAFIM 노래 너무 좋아요!,positive,0.826,2025-07-28 09:35:22,youtube,22
213,MAMAMOO,MAMAMOO 인스타 업데이트 기다려요,neutral,0.609,2025-08-05 09:35:22,youtube,21
214,BLACKPINK,BLACKPINK 정말 예쁘다 ❤️,positive,0.932,2025-08-02 09:35:22,instagram,19
215,IVE,IVE 목소리 천사같아,positive,0.703,2025-07-16 09:35:22,youtube,12
216,TWICE,TWICE 인스타 업데이트 기다려요,neutral,0.669,2025-08-06 09:35:22,youtube,19
217,(G)I-DLE,(G)I-DLE 최고야!! 사랑해,positive,0.805,2025-08-10 09:35:22,twitter,18
218,MAMAMOO,MAMAMOO 재능이 넘쳐나네요,positive,0.901,2025-08-13 09:35:22,twitter,17
219,IVE,IVE 드라마 출연해요,neutral,0.468,2025-08-03 09:35:22,youtube,12
220,StrayKids,StrayKids 노래 너무 좋아요!,positive,0.738,2025-07-17 09:35:22,instagram,20
221,Red Velvet,Red Velvet 노래 너무 좋아요!,positive,0.798,2025-07-24 09:35:22,youtube,21
222,LE SSERAFIM,LE SSERAFIM 목소리 천사같아,positive,0.911,2025-08-08 09:35:22,youtube,20
223,IVE,IVE 춤도 잘 춰 👏,positive,0.806,2025-08-13 09:35:22,twitter,12
224,LE SSERAFIM,LE SSERAFIM 목소리 천사같아,positive,0.836,2025-07-24 09:35:22,instagram,20
225,NMIXX,NMIXX 노래 너무 좋아요!,positive,0.82,2025-08-04 09:35:22,youtube,16
226,NCT,NCT 방송 언제 해요?,neutral,0.619,2025-08-10 09:35:22,youtube,13
227,ENHYPEN,ENHYPEN 완벽해 💕,positive,0.777,2025-08-13 09:35:22,instagram,13
228,IVE,IVE 정말 예쁘다 ❤️,positive,0.724,2025-07-20 09:35:22,youtube,13
229,LE SSERAFIM,LE SSERAFIM 춤도 잘 춰 👏,positive,0.899,2025-08-07 09:35:22,instagram,20
230,(G)I-DLE,(G)I-DLE 재능이 넘쳐나네요,positive,0.938,2025-07-25 09:35:22,twitter,18
231,TXT,TXT 최고야!! 사랑해,positive,0.903,2025-07-30 09:35:22,youtube,13
232,NCT,NCT 목소리 천사같아,positive,0.738,2025-08-09 09:35:22,twitter,12
233,TXT,TXT 정말 예쁘다 ❤️,positive,0.893,2025-07-16 09:35:22,instagram,13
234,ENHYPEN,ENHYPEN 드라마 출연해요,neutral,0.568,2025-07-18 09:35:22,twitter,16
235,(G)I-DLE,(G)I-DLE 음악 감동이에요,positive,0.939,2025-08-04 09:35:22,youtube,17
236,MAMAMOO,MAMAMOO 정말 예쁘다 ❤️,positive,0.71,2025-07-22 09:35:22,youtube,17
237,KARD,KARD 춤도 잘 춰 👏,positive,0.755,2025-07-18 09:35:22,instagram,13
238,ENHYPEN,ENHYPEN 정말 예쁘다 ❤️,positive,0.814,2025-07-17 09:35:22,instagram,17
239,IVE,IVE 논란이 많네,negative,0.07,2025-08-10 09:35:22,twitter,10
240,NMIXX,NMIXX 목소리 천사같아,positive,0.909,2025-08-07 09:35:22,youtube,14
241,KARD,KARD 음악 감동이에요,positive,0.756,2025-08-02 09:35:22,twitter,13
242,IU,IU 최고야!! 사랑해,positive,0.755,2025-08-06 09:35:22,youtube,12
243,MAMAMOO,MAMAMOO 논란이 많네,negative,0.064,2025-08-05 09:35:22,twitter,14
244,NCT,NCT 노래 너무 좋아요!,positive,0.825,2025-08-01 09:35:22,instagram,14
245,(G)I-DLE,(G)I-DLE 좀 아쉽네,negative,0.129,2025-08-13 09:35:22,instagram,14
246,TXT,TXT 최고야!! 사랑해,positive,0.731,2025-08-03 09:35:22,twitter,13
247,aespa,aespa 재능이 넘쳐나네요,positive,0.733,2025-07-25 09:35:22,twitter,15
248,IVE,IVE 완벽해 💕,positive,0.77,2025-07-17 09:35:22,youtube,9
249,NewJeans,NewJeans 노래 너무 좋아요!,positive,0.753,2025-07-23 09:35:22,instagram,19
250,NMIXX,NMIXX 논란이 많네,negative,0.102,2025-08-07 09:35:22,youtube,12
251,NMIXX,NMIXX 너무 과장된거 아니야?,negative,0.129,2025-08-02 09:35:22,instagram,18
252,StrayKids,StrayKids 너무 과장된거 아니야?,negative,0.104,2025-07-22 09:35:22,instagram,22
253,KARD,KARD 음악 감동이에요,positive,0.853,2025-08-04 09:35:22,youtube,13
254,TWICE,TWICE 예전만 못한듯,negative,0.239,2025-07-22 09:35:22,youtube,13
255,KARD,KARD 완벽해 💕,positive,0.808,2025-07-26 09:35:22,twitter,10
256,MAMAMOO,MAMAMOO 춤도 잘 춰 👏,positive,0.875,2025-07-15 09:35:22,youtube,16
257,IU,IU 노래 너무 좋아요!,positive,0.704,2025-07-28 09:35:22,youtube,13
258,BTS,BTS 춤도 잘 춰 👏,positive,0.781,2025-08-14 09:35:22,twitter,12
259,TXT,TXT 노래 너무 좋아요!,positive,0.941,2025-07-27 09:35:22,instagram,14
260,ITZY,ITZY 완벽해 💕,positive,0.872,2025-07-23 09:35:22,twitter,10
261,NewJeans,NewJeans 완벽해 💕,positive,0.834,2025-07-25 09:35:22,instagram,14
262,NMIXX,NMIXX 재능이 넘쳐나네요,positive,0.846,2025-08-05 09:35:22,twitter,15
263,NMIXX,NMIXX 인스타 업데이트 기다려요,neutral,0.616,2025-07-24 09:35:22,youtube,19
264,Red Velvet,Red Velvet 최고야!! 사랑해,positive,0.883,2025-08-08 09:35:22,instagram,20
265,Red Velvet,Red Velvet 정말 예쁘다 ❤️,positive,0.725,2025-07-20 09:35:22,instagram,20
266,IVE,IVE 춤도 잘 춰 👏,positive,0.917,2025-07-30 09:35:22,youtube,12
267,aespa,aespa 최고야!! 사랑해,positive,0.879,2025-07-15 09:35:22,instagram,15
268,MAMAMOO,MAMAMOO 별로인듯,negative,0.156,2025-07-16 09:35:22,twitter,12
269,NMIXX,NMIXX 노래 너무 좋아요!,positive,0.77,2025-07-29 09:35:22,youtube,16
270,SEVENTEEN,SEVENTEEN 인스타 업데이트 기다려요,neutral,0.496,2025-07-27 09:35:22,twitter,23
271,aespa,aespa 음악 감동이에요,positive,0.738,2025-08-14 09:35:22,youtube,14
272,MAMAMOO,MAMAMOO 재능이 넘쳐나네요,positive,0.72,2025-07-26 09:35:22,twitter,17
273,BLACKPINK,BLACKPINK 콘서트 정보 알려주세요,neutral,0.446,2025-07-17 09:35:22,instagram,22
274,BTS,BTS 노래 너무 좋아요!,positive,0.742,2025-08-06 09:35:22,youtube,14
275,SEVENTEEN,SEVENTEEN 광고 찍었네요,neutral,0.676,2025-08-06 09:35:22,twitter,17
